Deputados,Projetos
Enio Verri,268
Gleisi Hoffmann,244
Zeca Dirceu,157
Luciano Ducci,82
Aliel Machado,79
Boca Aberta,77
Rubens Bueno,76
Filipe Barros,60
Luizão Goulart,56
Leandre,56
Schiavinato,42
Paulo Eduardo Martins,42
Luisa Canziani,38
Aline Sleutjes,36
Ney Leprevost,33
Gustavo Fruet,33
Diego Garcia,31
Aroldo Martins,24
Toninho Wandscheer,24
Sargento Fahur,23
Luiz Nishimori,23
Reinhold Stephanes Junior,21
Roman,15
Vermelho,14
Ricardo Barros,13
Sergio Souza,13
Pedro Lupion,12
Christiane de Souza Yared,7
Felipe Francischini,6
Giacobo,1
