Proposições;Ementa;Explicação;Autor;UF;Partido;Apresentação;Situação;Link;TipoSG
PL 915/2021;Dispõe sobre a priorização dos profissionais de segurança pública para a Imunização contra a COVID-19. ;;"Emanuel Pinheiro Neto;Major Fabiana;Eduardo Bismarck;Capitão Augusto;Jorge Solla;Rodrigo Coelho;Eduardo Costa;Pedro Augusto Bezerra;Maurício Dziedricki;Pedro Lucas Fernandes;Santini;Wilson Santiago;Paulo Bengtson;Marcelo Moraes;Capitão Alberto Neto;Otoni de Paula;Carlos Sampaio;Delegado Antônio Furtado;Fernando Rodolfo;Nivaldo Albuquerque;Eduardo da Fonte;Capitão Derrite;Lincoln Portela;Orlando Silva;Neucimar Fraga;Capitão Wagner;Reginaldo Lopes;Pastor Eurico;Policial Katia Sastre;Subtenente Gonzaga;Delegado Marcelo Freitas;Fábio Henrique;Da Vitoria;General Peternelli;Mauro Lopes;Flávia Arruda;Hugo Leal;Gonzaga Patriota;Sargento Fahur;Edna Henrique;Pedro Lupion;Magda Mofatto;João Campos;Coronel Armando;Delegado Pablo;Junio Amaral;Nicoletti;Sanderson;General Girão";"MT;RJ;CE;SP;BA;SC;PA;CE;RS;MA;PB;PA;RS;AM;RJ;SP;RJ;PE;AL;PE;SP;MG;SP;ES;CE;MG;PE;SP;MG;MG;SE;ES;SP;MG;RJ;PE;PR;PB;PR;GO;GO;SC;AM;MG;RR;RS;RN";"PTB;PSL;PDT;PL;PT;PSB;PTB;PTB;PTB;PTB;PTB;PTB;PTB;REPUBLIC;PSC;PSDB;PSL;PL;PTB;PP;PP;PL;PCdoB;PSD;PROS;PT;PATRIOTA;PL;PDT;PSL;PDT;CIDADANIA;PSL;MDB;PSD;PSB;PSD;PSDB;DEM;PL;REPUBLIC;PSL;PSL;PSL;PSL;PSL;PSL";2021-03-16;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2273942;PL
PL 694/2020;Dispõe sobre anistia das dívidas de entidades filantrópicas de saúde.;;Pedro Lupion;PR;DEM;2020-03-18;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2239460;PL
PL 3884/2021;Regulamenta a profissão de Especialista em Saúde e Vida Infanto-Juvenil.;;Luisa Canziani;PR;PTB;2021-11-04;Aguardando Designação de Relator;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2305590;PL
PL 1540/2021;Institui a Política de Bem-Estar, Saúde e Qualidade de Vida no Trabalho e Valorização dos Profissionais da Educação.;;"Professor Israel Batista;Leandre;Célio Studart;Professora Rosa Neide;General Peternelli;Danilo Cabral;Raul Henry;Professora Dorinha Seabra Rezende;Idilvan Alencar;Alice Portugal;Luisa Canziani;Sâmia Bomfim;Geninho Zuliani;Mariana Carvalho;Enrico Misasi";"DF;PR;CE;MT;SP;PE;PE;TO;CE;BA;PR;SP;SP;RO;SP";"PV;PV;PV;PT;PSL;PSB;MDB;DEM;PDT;PCdoB;PTB;PSOL;DEM;PSDB;PV";2021-04-27;Aguardando Apreciação pelo Senado Federal;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2279318;PL
PL 3964/2020;Acrescenta art. 6º-E à Lei nº 13.979, de 6 de fevereiro de 2020, para conceder isenção das contribuições sociais a cargo da empresa às instituições de ensino superior na modalidade presencial, nas condições que especifica, até o término do período de emergência de saúde pública de importância internacional decorrente do coronavírus SARS-CoV-2 (covid-19).;;Luisa Canziani;PR;PTB;2020-07-28;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2258757;PL
PL 2306/2020;Estabelece incentivo fiscal em favor das empresas que firmarem parceria com universidades e institutos de ensino superior ou de pesquisa, para o desenvolvimento de projetos relativos ao COVID-19.;;"Luisa Canziani;Bruna Furlan";"PR;SP";"PTB;PSDB";2020-04-29;Pronta para Pauta;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250921;PL
PL 2136/2020;"Dispõe sobre a visita virtual, por meio de videochamadas, de familiares a pacientes internados em decorrência do novo coronavírus (COVID-19)

NOVA EMENTA: Dispõe sobre videochamadas relativas a pacientes internados em serviços de saúde.";;"Célio Studart;Luisa Canziani;Celso Sabino";"CE;PR;PA";"PV;PTB;PSDB";2020-04-23;Transformado em Norma Jurídica;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250454;PL
PL 1552/2020;"Dispõe sobre a proteção de mulheres em situação de violência durante a vigência do estado de calamidade pública, com efeitos até 31 de dezembro de 2020, ou enquanto durarem medidas de quarentena e restrições de atividades no contexto da pandemia do COVID-19 (Novo Coronavírus).

NOVA EMENTA: Dispõe sobre medidas de proteção à mulher em situação de violência durante a vigência do estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020, ou, transcorrida sua vigência, enquanto durarem as medidas de quarentena e de restrições de atividades no contexto da pandemia da Covid-19.";;"Sâmia Bomfim;David Miranda;Fernanda Melchionna;Talíria Petrone;Luiza Erundina;Tereza Nelma;Mara Rocha;Professora Rosa Neide;Margarida Salomão;Lídice da Mata;Maria do Rosário;Erika Kokay;Patricia Ferraz;Leda Sadala;Professora Dorinha Seabra Rezende;Dulce Miranda;Norma Ayub;Tabata Amaral;Rejane Dias;Luisa Canziani;Perpétua Almeida;Paula Belmonte;Edmilson Rodrigues";"SP;RJ;RS;RJ;SP;AL;AC;MT;MG;BA;RS;DF;AP;AP;TO;TO;ES;SP;PI;PR;AC;DF;PA";"PSOL;PSOL;PSOL;PSOL;PSOL;PSDB;PSDB;PT;PT;PSB;PT;PT;PODE;AVANTE;DEM;MDB;DEM;PDT;PT;PTB;PCdoB;CIDADANIA;PSOL";2020-04-03;Aguardando Apreciação pelo Senado Federal;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243066;PL
PL 1291/2020;"Assegura medidas de combate e prevenção à violência doméstica previstas na Lei 11.340 de 7 de agosto de 2006 - Lei Maria da Penha - e no Código Penal durante a vigência da Lei n° 13.979 de 6 de fevereiro de 2020 ou durante a declaração de estado de emergência de caráter humanitário e sanitário em território nacional.

NOVA EMENTA: Altera a Lei nº 13.979, de 6 de fevereiro de 2020, e dispõe sobre medidas de enfrentamento à violência doméstica e familiar contra a mulher e de enfrentamento à violência contra crianças, adolescentes, pessoas idosas e pessoas com deficiência durante a emergência de saúde pública de importância internacional decorrente do coronavírus responsável pelo surto de 2019";;"Maria do Rosário;Professora Rosa Neide;Margarida Salomão;Mariana Carvalho;Luizianne Lins;Gleisi Hoffmann;Dra. Soraya Manato;Professora Marcivania;Luiza Erundina;Rejane Dias;Talíria Petrone;Clarissa Garotinho;Sâmia Bomfim;Lídice da Mata;Luisa Canziani;Margarete Coelho;Tereza Nelma;Soraya Santos;Marília Arraes;Patricia Ferraz;Marina Santos;Fernanda Melchionna;Dulce Miranda;Leda Sadala;Paula Belmonte;Tabata Amaral;Benedita da Silva;Natália Bonavides;Perpétua Almeida;Erika Kokay;Flávia Arruda;Professora Dorinha Seabra Rezende";"RS;MT;MG;RO;CE;PR;ES;AP;SP;PI;RJ;RJ;SP;BA;PR;PI;AL;RJ;PE;AP;PI;RS;TO;AP;DF;SP;RJ;RN;AC;DF;DF;TO";"PT;PT;PT;PSDB;PT;PT;PSL;PCdoB;PSOL;PT;PSOL;PROS;PSOL;PSB;PTB;PP;PSDB;PL;PT;PODE;SOLIDARI;PSOL;MDB;AVANTE;CIDADANIA;PDT;PT;PT;PCdoB;PT;PL;DEM";2020-03-30;Transformado em Norma Jurídica;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242471;PL
PL 1403/2020;Dispõe sobre a movimentação da conta vinculada do trabalhador no Fundo de Garantia do Tempo de Serviço  FGTS em caso de emergência, de estado de calamidade pública ou de pandemia declarada pela Organização Mundial da Saúde, reconhecidos pelo Poder Executivo Federal.;;Luiz Nishimori;PR;PL;2020-04-01;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242672;PL
