Proposições;Ementa;Explicação;Autor;UF;Partido;Apresentação;Situação;Link;TipoSG
PL 134/2022;Dispõe sobre o Sistema de Informação da Qualidade do Diesel B ao Consumidor Final e dá outras providências. ;;Pedro Lupion;PR;DEM;2022-02-03;Aguardando Designação de Relator;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2314073;PL
PL 915/2021;Dispõe sobre a priorização dos profissionais de segurança pública para a Imunização contra a COVID-19. ;;"Emanuel Pinheiro Neto;Major Fabiana;Eduardo Bismarck;Capitão Augusto;Jorge Solla;Rodrigo Coelho;Eduardo Costa;Pedro Augusto Bezerra;Maurício Dziedricki;Pedro Lucas Fernandes;Santini;Wilson Santiago;Paulo Bengtson;Marcelo Moraes;Capitão Alberto Neto;Otoni de Paula;Carlos Sampaio;Delegado Antônio Furtado;Fernando Rodolfo;Nivaldo Albuquerque;Eduardo da Fonte;Capitão Derrite;Lincoln Portela;Orlando Silva;Neucimar Fraga;Capitão Wagner;Reginaldo Lopes;Pastor Eurico;Policial Katia Sastre;Subtenente Gonzaga;Delegado Marcelo Freitas;Fábio Henrique;Da Vitoria;General Peternelli;Mauro Lopes;Flávia Arruda;Hugo Leal;Gonzaga Patriota;Sargento Fahur;Edna Henrique;Pedro Lupion;Magda Mofatto;João Campos;Coronel Armando;Delegado Pablo;Junio Amaral;Nicoletti;Sanderson;General Girão";"MT;RJ;CE;SP;BA;SC;PA;CE;RS;MA;PB;PA;RS;AM;RJ;SP;RJ;PE;AL;PE;SP;MG;SP;ES;CE;MG;PE;SP;MG;MG;SE;ES;SP;MG;RJ;PE;PR;PB;PR;GO;GO;SC;AM;MG;RR;RS;RN";"PTB;PSL;PDT;PL;PT;PSB;PTB;PTB;PTB;PTB;PTB;PTB;PTB;REPUBLIC;PSC;PSDB;PSL;PL;PTB;PP;PP;PL;PCdoB;PSD;PROS;PT;PATRIOTA;PL;PDT;PSL;PDT;CIDADANIA;PSL;MDB;PSD;PSB;PSD;PSDB;DEM;PL;REPUBLIC;PSL;PSL;PSL;PSL;PSL;PSL";2021-03-16;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2273942;PL
PL 4535/2020;Altera o Decreto-Lei nº 1.455, de 7 de abril de 1976.;;Pedro Lupion;PR;DEM;2020-09-11;Aguardando Designação de Relator;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2262792;PL
PL 4031/2020;Altera a Lei nº 12.816, de 2013, para autorizar os Municípios a prestarem o transporte de estudantes do ensino superior.;;Pedro Lupion;PR;DEM;2020-08-03;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2259185;PL
PL 694/2020;Dispõe sobre anistia das dívidas de entidades filantrópicas de saúde.;;Pedro Lupion;PR;DEM;2020-03-18;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2239460;PL
PL 5167/2019;Dispõe sobre a possiblidade de emissão de nota fiscal eletrônica ou nota do talão de produtor rural, com o respectivo número de inscrição no Cadastro de Pessoas Físicas (CPF), para produtos e serviços ligados aos empreendimentos de turismo rural ou agroturismo.;;Pedro Lupion;PR;DEM;2019-09-19;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2221186;PL
PL 5082/2019;"Altera a Lei nº 5.700, de 1 de setembro de 1971, que ""Dispõe sobre a forma e a apresentação dos Símbolos Nacionais, e dá outras providências"".";;"Felipe Francischini;Pedro Lupion;Caroline de Toni;Bozzella;Sanderson";"PR;PR;SC;SP;RS";"PSL;DEM;PSL;PSL;PSL";2019-09-17;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2220485;PL
PL 3351/2019;Altera a Lei nº 9.249, de 26 de dezembro de 1995.;;Pedro Lupion;PR;DEM;2019-06-05;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2206804;PL
PL 1505/2019;Altera o Decreto-lei nº 73, de 21 de novembro de 1966, para estabelecer limites para o seguro obrigatório de bens dados em garantia, quando se tratar de operações de crédito rural.;;Pedro Lupion;PR;DEM;2019-03-14;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2194031;PL
PL 1172/2019;Altera dispositivos do Decreto-Lei nº 3.689, de 03 de outubro de 1941-Código de Processo Penal relativas à prisão, e dá outras providências:;;Pedro Lupion;PR;DEM;2019-02-26;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2193206;PL
PL 516/2022;Cria a lei - Leliane Gomes da Cruz - que institui a Política Nacional de Promoção do Parto Humanizado, Digno e Respeitoso (PNP-PHDR) e dá outras providências.;;"Perpétua Almeida;Celina Leão;Alice Portugal;Professora Dorinha Seabra Rezende;Professora Marcivania;Jandira Feghali;Tereza Nelma;Sâmia Bomfim;Fernanda Melchionna;Tabata Amaral;Soraya Santos;Luisa Canziani;Erika Kokay";"AC;DF;BA;TO;AP;RJ;AL;SP;RS;SP;RJ;PR;DF";"PCdoB;PP;PCdoB;UNIÃO;PCdoB;PCdoB;PSDB;PSOL;PSOL;PSB;PL;PTB;PT";2022-03-09;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2317508;PL
PL 255/2022;Altera a Lei nº 12.764, de 27 de dezembro de 2012, para determinar a aceitação compulsória da Carteira de Identificação da Pessoa com Transtorno do Espectro Autista (Ciptea) por instituições públicas e privadas em todo território nacional, para fins de comprovação do diagnóstico desse transtorno.;;Luisa Canziani;PR;PTB;2022-02-14;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2314520;PL
PL 3884/2021;Regulamenta a profissão de Especialista em Saúde e Vida Infanto-Juvenil.;;Luisa Canziani;PR;PTB;2021-11-04;Aguardando Designação de Relator;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2305590;PL
PL 2497/2021;Dispõe sobre a oferta de educação híbrida.;;Luisa Canziani;PR;PTB;2021-07-08;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2290236;PL
PL 1540/2021;Institui a Política de Bem-Estar, Saúde e Qualidade de Vida no Trabalho e Valorização dos Profissionais da Educação.;;"Professor Israel Batista;Leandre;Célio Studart;Professora Rosa Neide;General Peternelli;Danilo Cabral;Raul Henry;Professora Dorinha Seabra Rezende;Idilvan Alencar;Alice Portugal;Luisa Canziani;Sâmia Bomfim;Geninho Zuliani;Mariana Carvalho;Enrico Misasi";"DF;PR;CE;MT;SP;PE;PE;TO;CE;BA;PR;SP;SP;RO;SP";"PV;PV;PV;PT;PSL;PSB;MDB;DEM;PDT;PCdoB;PTB;PSOL;DEM;PSDB;PV";2021-04-27;Aguardando Apreciação pelo Senado Federal;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2279318;PL
PL 989/2021;Acresce o art. 135-B ao Decreto-Lei nº 2.848, de 07 de dezembro de 1940 – Código Penal Brasileiro, para tipificar como crime a conduta de administradores ou dirigentes de unidades de atendimento hospitalar que ocultarem a disponibilidade de leitos das respectivas centrais de regulação e dá outras providências.;;"Maurício Dziedricki;Emanuel Pinheiro Neto;Eduardo Costa;Pedro Lucas Fernandes;Marcelo Moraes;Wilson Santiago;Luisa Canziani;Paulo Bengtson;Pedro Augusto Bezerra;Nivaldo Albuquerque";"RS;MT;PA;MA;RS;PB;PR;PA;CE;AL";"PTB;PTB;PTB;PTB;PTB;PTB;PTB;PTB;PTB;PTB";2021-03-19;Aguardando Designação de Relator;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2274504;PL
PL 940/2021;Institui o dia 5 de maio como o Dia Nacional da Pessoa com Visão Monocular.;;"Luisa Canziani;Cacá Leão;Soraya Santos;Margarete Coelho;Marcelo Aro;Flávia Arruda";"PR;BA;RJ;PI;MG;DF";"PTB;PP;PL;PP;PP;PL";2021-03-17;Aguardando Designação de Relator;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2274088;PL
PL 462/2021;Altera a Lei 9.394 de 1996 (Lei de Diretrizes e Bases da Educação) para incluir o ensino de programação, robótica, noções de direito e finanças.;;"Kim Kataguiri;Felipe Rigoni;Pedro Vilela;Luisa Canziani;Adriana Ventura";"SP;ES;AL;PR;SP";"DEM;PSB;PSDB;PTB;NOVO";2021-02-17;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2270314;PL
PL 284/2021;Altera os arts. 5º e 21-A da Lei nº 11.947, de 16 de junho de 2009. ;;Luisa Canziani;PR;PTB;2021-02-05;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2269498;PL
PL 54/2021;Altera a Lei nº 10.836, de 9 de janeiro de 2004, que cria o Programa Bolsa Família e dá outras providências, para dispor sobre a criação de incentivo financeiro ao estudante do ensino médio.;;"Tabata Amaral;Idilvan Alencar;Professor Israel Batista;Mariana Carvalho;Rose Modesto;Átila Lira;Luisa Canziani;Pedro Cunha Lima;Lídice da Mata;Professora Rosa Neide;Célio Studart;Eduardo Barbosa;Gastão Vieira;Moses Rodrigues;Franco Cartafina;Marx Beltrão;Bacelar;Renata Abreu";"SP;CE;DF;RO;MS;PI;PR;PB;BA;MT;CE;MG;MA;CE;MG;AL;BA;SP";"PDT;PDT;PV;PSDB;PSDB;PP;PTB;PSDB;PSB;PT;PV;PSDB;PROS;MDB;PP;PSD;PODE;PODE";2021-02-03;Pronta para Pauta;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2268691;PL
PL 4944/2020;Altera a Lei do Bem – Lei nº 11.196, de 2005, para permitir que o excedente do percentual dos dispêndios com pesquisa tecnológica excluído do lucro líquido das empresas possa ser aproveitado em exercícios subsequentes, e dá outras providências.;;Luisa Canziani;PR;PTB;2020-10-15;Pronta para Pauta;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2264376;PL
PL 4679/2020;"Altera a Lei nº 11.107, de 6 de abril de 2005 que “Dispõe sobre normas gerais de contratação de consórcios
públicos” e dá outras providências.
";;"Geninho Zuliani;Carlos Chiodini;Eduardo Bismarck;Gastão Vieira;Nelson Barbudo;Silvio Costa Filho;Luisa Canziani;João Maia;Carmen Zanotto;Eduardo Costa;Enrico Misasi";"SP;SC;CE;MA;MT;PE;PR;RN;SC;PA;SP";"DEM;MDB;PDT;PROS;PSL;REPUBLIC;PTB;PL;CIDADANIA;PTB;PV";2020-09-22;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2263185;PL
